hzWN
-6.061830309
-6.50043958
-6.182159554
-6.538448062
-6.46948927
-6.147773465
-6.247533726
-6.525495739
-6.198975847
-6.075489578
-6.063770222
-6.20074002
-6.253346769
-6.242117299
-6.042637487
-6.516401344
-6.431751449
-6.634329148
-6.258800247
-6.748975071
-6.244511977
-6.454646601
-6.753359522
-6.266387082
-6.700296095
-6.778342799
-6.312500909
-6.34693159
-6.547308828
-6.753679465
-6.712388633
-6.778336307
-6.611582565
-6.768452569
-6.831974767
-6.376244367
-6.209143159
-6.422660523
-6.547618283
-6.577279795
-6.538970582
-6.822366539
-6.761890436
-6.527579545
-6.442599285
-6.36809517
-6.677073113
-6.730277674
-6.45665582
-6.505454843
-6.749813568
-6.663870204
-6.270328553
-6.556348506
-6.351427444
-6.482629392
-6.640814182
-6.145582615
-6.155761724
-5.982452385
-5.859266291
-5.588278469
-5.771002512
-5.551037859
-5.734803577
-5.416285649
-5.475640835
-5.310870028
-5.273619531
-5.254143884
-5.120215588
-5.279967673
-5.579352666
-5.8117896
-6.381359625
-7.209739501
-7.595236115
-7.281997511
-7.719445626
-7.263795864
-7.42427663
-7.870966233
-7.663303697
-7.431721242
-7.849710817
-7.313739161
-7.404301948
-7.545454077
-7.396496212
-7.398665453
-7.132453361
-7.323376582
-7.058369834
-7.354104445
-7.168437808
-7.108673797
-7.071207459
-6.850222682
-6.796219675
-6.690790702
-6.353011319
-6.560851235
-6.350231547
-6.408660944
-6.243053257
-6.39055164
-6.505691765
-6.564640633
-6.378397843
-6.473718329
-6.258862465
-6.177179906
-6.242149164
-6.586965524
-6.388205572
-6.414837152
-6.73314694
-6.659469635
-6.548142671
-6.523785378
-6.708874268
-6.228275109
-6.673095003
-6.520796987
-6.538666837
-6.356263259
-6.637877113
-6.702159942
-6.438808557
-6.541048038
-6.702152256
-6.814323432
-6.681118614
-6.535634807
-6.432652515
-6.432450621
-6.42658489
-6.360305838
-6.37129198
-6.619217905
-6.521335683
-6.448331192
-6.737468788
-6.701276272
-6.362700075
-6.501835635
-6.727630982
-6.574190712
-6.433378183
-6.314514784
-6.651019874
-6.61829984
-6.992168922
-6.591958152
-6.647192861
-6.719011207
-7.010707913
-6.807207548
-6.90444138
-6.864558549
-6.647935225
-6.428379303
-6.920001093
-6.323906836
-6.687146441
-6.842552479
-6.630368997
-6.969568926
-6.87437093
-6.67790661
-6.546851923
-6.865694542
-6.351532521
-6.227644318
-6.63920742
-6.240476474
-6.24695154
-6.150538905
-6.475171978
-6.757651806
-6.51138827
-6.473249192
-6.644307559
-6.384332159
-6.062331106
-6.409624434
-6.427351511
-6.056702001
-6.416246318
-6.466995282
-6.391842677
-6.272757384
-6.31605989
-6.735523359
-6.203511344
-6.549905082
-6.476114341
-6.070187792
-6.354479132
-6.109287678
-6.615192081
-6.440255775
-6.405894852
-6.494000705
-6.283685887
-6.515919438
-6.328527036
-6.563055221
-6.420841451
-6.140318585
-6.235195541
-6.550749346
-6.264386144
-6.245159169
-6.259819965
-6.609612426
-6.48004419
-6.511330066
-6.58203131
-6.598696803
-6.388652472
-6.114748401
-6.525239864
-6.334843863
-6.599695289
-6.5164466
-6.36467803
-6.614819058
-6.108098571
-6.600426424
-6.12263748
-6.577627918
-6.318001849
-6.715561762
-6.579424502
-6.221269639
-6.518909399
-6.146029068
-6.03367059
-6.520398213
-6.197817392
-6.740551391
-6.76859999
-6.676130632
-6.112125794
-6.155003391
-6.165756442
-6.523805017
-6.231292933
-6.607265789
